problem,uuid,problem_type,question_type,source,answer
"Let $a$, $b$, $c$, and $d$ be positive integers, and $a^2 + b^2 = c^2 + d^2$. Prove that $a + b + c + d$ must be a composite number.",e2273f30-234d-59d9-acea-20b450b889a7,Number Theory,proof,cn_k12,\text{Composite}
"Prove by contradiction that ""If the sum of natural numbers $a$, $b$, $c$ is even, then at least one of $a$, $b$, $c$ is even"". The correct assumption for the conclusion in the proof by contradiction is (　　)
A: At most one of $a$, $b$, $c$ is even
B: None of $a$, $b$, $c$ is even
C: At most one of $a$, $b$, $c$ is odd
D: All of $a$, $b$, $c$ are even",ac7393f7-f9eb-5fc2-8322-e31dc1953401,Number Theory,proof,cn_k12,\text{B}
"Discover: In any three consecutive integers, the square difference between the largest and smallest number is a multiple of $4$. Verify:$(1) The result of $5^{2}-3^{2}$ is a multiple of $4$; $(2)$ Prove: In any three consecutive odd numbers, the square difference between the largest and smallest number is a multiple of $8$.",3f9fe20d-0ae9-5f96-a00e-8e73eab95f22,Number Theory,proof,cn_k12,8
"When using the method of contradiction to prove that among the natural numbers $a$, $b$, $c$, at least one is even, the correct assumption to start with is.",44247d6c-4c1e-5132-bfd5-5f063019061a,Number Theory,proof,cn_k12,"\text{All of } a, b, c \text{ are odd}"
"For all $n \in \mathbb{N}^*$, find the smallest natural number $m$ such that $m+2^{5n}$ is divisible by 31, and prove your conclusion.",430eade1-74ee-552d-90c1-9aa564e1fb05,Number Theory,proof,cn_k12,30
"14. 1.43 * Let $a$ and $b$ be natural numbers such that $a^{2}+a b+1$ is divisible by $b^{2}+b a+1$, prove that $a=b$.",0190136b-84b7-5ac5-beee-fea204fc5fb3,Number Theory,proof,olympiads,b
"2 - 59 Find the smallest positive integer $n$, such that the last three digits of its cube are 888.

Translate the above text into English, please keep the original text's line breaks and format, and output the translation result directly.",7e310d82-8afa-5b67-bd9e-2f61b6adf310,Number Theory,proof,olympiads,192
"To be proven: if $a$ and $b$ are prime numbers greater than 7, then the expression

$$
\left(a^{2}-1\right)\left(b^{2}-1\right)\left(a^{6}-b^{6}\right)
$$

is divisible by 290304.",f7626d05-f81a-5fee-9b65-953a1e23fe68,Number Theory,proof,olympiads,290304
"Starting from $T_{1}=2$, we form the subsequent terms of the sequence $T_{1}, T_{2}, \ldots$ according to the relation

$$
T_{n+1}=T_{n}^{2}-T_{n}+1 \quad(n=1,2, \ldots)
$$

Prove that the terms of the sequence are pairwise coprime and that the limit of the following series is 1.

$$
\sum_{k=1}^{n} \frac{1}{T_{k}}
$$",33159814-be28-5944-9f3c-ebabac715928,Number Theory,proof,olympiads,1
"10.7. Given $n \geqslant 3$ pairwise coprime numbers. It is known that when the product of any $n-1$ of them is divided by the remaining number, the same remainder $r$ is obtained. Prove that $r \leqslant n-2$.

(V. Senderov)",cb8704a5-8f2d-5aa2-bdf5-7a7bf0a4b07c,Number Theory,proof,olympiads,r\leqslantn-2
"6-20 Let $f(n)$ be a function defined on the set of natural numbers, and the values it takes are also in the set of natural numbers. Prove: If for every natural number, $f(n+1) >$ $f[f(n)]$, then $f(n)=n$ for every $n$ value.",04baaa88-8d0a-514c-83d3-cb4e2fd5a15d,Number Theory,proof,olympiads,f(n)=n
"C1. For a positive integer $n$, if we multiply all numbers from 1 to $n$ together, we denote the result as $n$ ! ('$n$ factorial'). For example, $5 !=1 \cdot 2 \cdot 3 \cdot 4 \cdot 5=120$.

(a) Find all integers $n$ with $1 \leqslant n \leqslant 100$ such that $n ! \cdot (n+1)$ ! is the square of an integer. Also provide a proof that you have found all such numbers.

(b) Prove that for no positive integer $n$ does $n$ ! $\cdot (n+1) ! \cdot (n+2) ! \cdot (n+3)$ ! equal the square of an integer.",57e5fb68-453a-5b4c-9df2-097538ea371b,Number Theory,proof,olympiads,"3,8,15,24,35,48,63,80,99"
"Four, (50 points) Let $p_{1}, p_{2}, \cdots, p_{n}$ be $n$ distinct prime numbers. Use these primes as terms (repetition allowed) to form any sequence such that no product of some adjacent terms is a perfect square. Prove: The number of terms in such a sequence has a maximum value (denoted as $L(n)$), and find the expression for $L(n)$.

---

The translation retains the original text's line breaks and formatting.",9cda1502-207d-519e-87df-373a048cae74,Number Theory,proof,olympiads,L(n)=2^{n}-1
5. Represent the number 1947 as the sum of the cubes of five integers. Prove that any integer can be represented as the sum of the cubes of five integers.,ca09ae09-6c3b-51f7-a53b-fc51f818afc8,Number Theory,proof,olympiads,1947=(321)^{3}+(319)^{3}+(-320)^{3}+(-320)^{3}+(3)^{3}
"Find all functions from $\mathbb{N}^{*}$ to $\mathbb{N}^{*}$ such that:

$$
m^{2}+f(n) \mid m f(m)+n
$$

For all $m, n>0$",5ca7f7a6-9096-53e8-b746-2fceca0f7020,Number Theory,proof,olympiads,f(n)=n
"Show that if the lengths of the legs of a right triangle are integers of the following form:

$$
2 n+1 \text{ and } 2 n(n+1)
$$

( $n$ is an integer), then the length of the hypotenuse is also an integer.",8c479d42-7ad3-535d-aac1-daf3f881a1a9,Number Theory,proof,olympiads,2n^{2}+2n+1
"# Problem 8. (5 points)

Boy Kolya doesn't like the number 1234. He listed several different numbers, none of which contain the sequence of digits 1234 (in a row and exactly in that order). Prove that the sum of the reciprocals of these numbers is no more than 400000.",3d8118b8-bf61-54c9-9b46-f13cfa6416b0,Number Theory,proof,olympiads,400000
"4.30. Prove that if for any natural $k \neq b$ the number $a-k^{n}$ is divisible by $b-k$, then $a=b^{n}$. (Here $a, b, n-$ are fixed natural numbers.)",5324da7c-121c-54b6-96dc-1de485bd90d2,Number Theory,proof,olympiads,b^{n}
"# 3. CONDITION

Prove that in the product $P=1! \times 2! \times \ldots \times 100!$, one of the factors can be erased so that the product of the remaining factors is a perfect square.

Proof. From the equality $(2k)! = (2k-1)! \times 2k$, it follows that the given product can be rewritten as $(1!)^2 \times 2 \times (3!)^2 \times 4 \times (5!)^2 \times 6 \times \ldots \times (99!)^2 \times 100 = (1! \times 3! \times 5! \times \ldots \times 99!)^2 \times 2 \times 4 \times 6 \times \ldots \times 100 = (1! \times 3! \times 5! \times \ldots \times 99!)^2 \times 2^{50} \times 50! = \left(1! \times 3! \times 5! \times \ldots \times 99! \times 2^{25}\right)^2 \times 50!$",5950d484-cd24-5b9e-ac77-8d8c5730c290,Number Theory,proof,olympiads,50!
"Let $p$ and $q$ be two different primes. Prove that

$$
\left\lfloor\frac{p}{q}\right\rfloor+\left\lfloor\frac{2 p}{q}\right\rfloor+\left\lfloor\frac{3 p}{q}\right\rfloor+\ldots+\left\lfloor\frac{(q-1) p}{q}\right\rfloor=\frac{1}{2}(p-1)(q-1) .
$$

(Here $\lfloor x\rfloor$ denotes the largest integer not greater than $x$.)",0b778b4a-4f12-5169-9a74-958671cedee3,Number Theory,proof,olympiads,\frac{1}{2}(p-1)(q-1)
"$1 \cdot 38 n$ distinct natural numbers $a_{1}, a_{2}, \cdots, a_{n}$ can all divide $10^{k}(k \in$ $N)$, prove that $\frac{1}{a_{1}}+\frac{1}{a_{2}}+\cdots+\frac{1}{a_{n}}<2.5$.
(Fuzhou City, Fujian Province, High School Mathematics Competition, 1990)",2e27da70-2482-571b-a88f-11163d20b8cc,Number Theory,proof,olympiads,\frac{5}{2}
"13th Putnam 1953 Problem B7 Show that we can express any irrational number α ∈ (0, 1) uniquely in the form ∑ 1 ∞ (-1) n+1 1/(a 1 a 2 ... a n ), where a i is a strictly monotonic increasing sequence of positive integers. Find a 1 , a 2 , a 3 for α = 1/√2. Solution",cc4c7887-1886-57a5-8e8c-fb27e8846f8d,Number Theory,proof,olympiads,"a_1=1,a_2=3,a_3=8"
"14.5.21 ** Given $k, n (k \geqslant n)$ are positive integers. $k$ divided by $n$ gives a quotient $q$ and a remainder $r$. Split $k$ into the sum of $n$ positive integers. For all such partitions, the maximum value of their product is $F(k)$.
Prove: $F(k)=q^{n-r} \cdot(q+1)^{r}$.",4a8affc0-1c1b-55b8-88a4-c9f76f1fe6f4,Number Theory,proof,olympiads,q^{n-r}(q+1)^{r}
14.1.91 Find (and prove) all integers $n > 1$ such that $\frac{2^{n}+1}{n^{2}}$ is an integer.,89262a73-8632-56af-9e2e-726bb25f5f32,Number Theory,proof,olympiads,3
"14.2.3 ${ }^{\star}$ Find three positive integers $a, b, c$, satisfying (1) $a<b<c$; (2) pairwise coprime; (3) the sum of any two is a multiple of the third.
Prove that the three numbers found are the only such set.",246a07ad-ecd8-50f4-91b0-61a902241003,Number Theory,proof,olympiads,"1,2,3"
"2. Let the complex number $z$ satisfy $z+9=10 \bar{z}+22 \mathrm{i}$, then the value of $|z|$ is

Translate the above text into English, please keep the original text's line breaks and format, and output the translation result directly.",63513cae-4be0-5bd5-a8bb-33f895e6940c,Number Theory,proof,olympiads,\sqrt{5}
"1. Let $\mathbb{P}$ denote the set of all prime numbers. Find all functions $f: \mathbb{P} \rightarrow \mathbb{P}$ such that

$$
f(p)^{f(q)}+q^{p}=f(q)^{f(p)}+p^{q}
$$

for all $p, q \in \mathbb{P}$.

(Albania)",51ae0f7d-01bb-5cba-8043-c07766bb92be,Number Theory,proof,olympiads,f(p)=p
"2. From a three-digit number, the sum of its digits was subtracted. The same operation was performed on the resulting number, and so on, 100 times. Prove that the result will be zero. (6 points)",860b9f46-84a7-5aca-a07d-9472a4617933,Number Theory,proof,olympiads,0
"2. Consider the numbers $A=\left(13^{23} \cdot 13^{32}: 13^{54}-\left(9^{3}\right)^{6}: 9^{17}\right)^{33}$ and $B=243 \cdot 81^{15}: 27^{7}$.

a) Prove the equality $A=2^{66}$;

b) Determine the value of the number $x \in \mathbb{N}$ that satisfies the relation $B=3^{x}$;

c) Prove the inequality $A<B$.",2027ec47-4681-57ef-8e7a-e11853d52612,Number Theory,proof,olympiads,44
"(Shortlist 2016, problem N6) Determine all functions $f: \mathbb{N}^{*} \rightarrow \mathbb{N}^{*}$ such that for all $m, n \in \mathbb{N}^{*}$, the number $f(m)+f(n)-m n$ is non-zero and divides $m f(m)+n f(n)$.",24acab43-be45-5da5-9af9-74f536c963c4,Number Theory,proof,olympiads,f(n)=n^{2}
"$12 \cdot 136$ Prove that there are infinitely many natural numbers $n$ such that the average $\frac{1^{2}+2^{2}+\cdots+n^{2}}{n}$ is a perfect square. The first such number is of course 1. Write down the next two such numbers after 1.
（31st International Mathematical Olympiad Shortlist, 1990）",c832d7a6-0b9f-5e7d-a15c-416439457c70,Number Theory,proof,olympiads,"337,65521"
"2. Find all pairs of natural numbers $a$ and $b$ that satisfy the condition: $\operatorname{LCM}(a, b) + \operatorname{GCD}(a, b) = ab / 5$ and prove that there are no other such pairs.",ec6a05e8-2250-5bea-b7d3-c6b8138eb993,Number Theory,proof,olympiads,"(6,30),(10,10),(30,6)"
"## Problem A1

The sets $\left\{a_{1}, a_{2}, \ldots, a_{999}\right\}$ and $\left\{b_{1}, b_{2}, \ldots, b_{999}\right\}$ together contain all the integers from 1 to 1998 . For each $\mathrm{i}$, $\left|a_{i}-b_{i}\right|=1$ or 6 . For example, we might have $a_{1}=18, a_{2}=1, b_{1}=17, b_{2}=7$. Show that $\sum_{1}^{999}\left|a_{i}-b_{i}\right|=9$ mod 10.

",32db9a33-4904-5264-9fcc-1c961d250131,Number Theory,proof,olympiads,9
"(Inequality in $\mathbb{N}$) Let $f$ be a function from $\mathbb{N}$ to itself. Show that if for every natural number $n$,

$$
f(n+1)>f(f(n))
$$

then $f$ is the identity.

(IMO 1977)",44d79dab-a15a-58cb-ba8b-f51e218f3cbc,Number Theory,proof,olympiads,f(n)=n
"![](https://cdn.mathpix.com/cropped/2024_05_06_a3c8ec1189b8a5040576g-38.jpg?height=40&width=232&top_left_y=1918&top_left_x=14)

In the sequence of natural numbers $\left\{a_{n}\right\}, n=1,2, \ldots$, each natural number appears at least once, and for any distinct $n$ and $m$, the inequality $\frac{1}{1998}<\frac{\left|a_{n}-a_{m}\right|}{|n-m|}<1998$ holds. Prove that then $\left|a_{n}-n\right|<2000000$ for all natural $n$.",9f06bfca-7a98-5e58-867c-c13305a120eb,Number Theory,proof,olympiads,|a_{n}-n|<2000000
"Test $\mathbf{E}$ Given $m, n \in \mathbf{N}$, and $m \neq n$.
(1) Prove: The natural number $m^{4}+4 n^{4}$ can always be expressed as the sum of the squares of four natural numbers.
(2) Express 689 as the sum of the squares of four different natural numbers.
(1990 Shaoxing City Junior High School Mathematics Competition)",b713219a-7d52-50cd-9cf7-9346c3824ff7,Number Theory,proof,olympiads,689=21^{2}+14^{2}+6^{2}+4^{2}
"2. Let $f(n)$ be a function defined on the set of natural numbers and taking values in the set of natural numbers. Prove that if for each value of $n$, the inequality $f(n+1)>f[f(n)]$ holds, then for every value of $n$, $f(n)=n$.

The text above is translated into English, preserving the original text's line breaks and format.",45e58e3f-cf89-53de-a4e0-7f3220e5828a,Number Theory,proof,olympiads,f(n)=n
"[Example 4.5.4] Let $\dot{E}=\{1,2,3, \cdots, 200\}, G=\left\{a_{1}, a_{2}, \cdots, a_{100}\right\} \subset E$, and $G$ has the following properties:
(1) For any $1 \leqslant i<j \leqslant 100$, it always holds that $a_{i}+a_{j} \neq 201$;
(2) $\sum_{i=1}^{100} a_{i}=10080$.
Prove: The number of odd numbers in $G$ is a multiple of 4, and the sum of the squares of all numbers in $G$ is a certain value.",ec992e77-aa46-57ed-8ca6-88f69a465d93,Number Theory,proof,olympiads,1349380
"Task 2. Let $A$ and $B$ be positive integers. Define the arithmetic sequence $a_{0}, a_{1}, a_{2}, \ldots$ by $a_{n}=A n+B$. Assume that there is at least one $n \geq 0$ such that $a_{n}$ is a square. Let $M$ be a positive integer such that $M^{2}$ is the smallest square in the sequence. Prove that $M<A+\sqrt{B}$.",9b4cf22a-7bc3-5de8-bcd4-4607796a5729,Number Theory,proof,olympiads,M<A+\sqrt{B}
"4. When we divide the number 13 by the three numbers 5, 7, and 9, those divisions yield remainders: dividing by 5 gives a remainder of 3, dividing by 7 gives a remainder of 6, and dividing by 9 gives a remainder of 4. If we add these remainders together, we get $3+6+4=13$, the original number.

(a) Let $n$ be a positive integer and let $a$ and $b$ be positive integers smaller than $n$. Prove: if you divide $n$ by $a$ and $b$, then the sum of the two remainders is never equal to $n$.

(b) We consider integers $n>229$ with the following property: if you divide $n$ by 99, 132, and 229, then the sum of the three remainders is equal to $n$.

Prove that for such a number $n$, the sum of the two remainders when $n$ is divided by 99 and 132 is always 229.

(c) Determine all integers $n>229$ with the property that if you divide $n$ by 99, 132, and 229, the sum of the three remainders is equal to $n$.",c5969982-5c2b-570f-9f85-4dcd42ce8cf6,Number Theory,proof,olympiads,395
"Let $f$ be a function defined for every natural number $n$, and whose function values are also natural numbers! Furthermore, let the inequality

$$
f(n+1)>f(f(n))
$$

hold for every $n$ as well!

Prove that in this case, for every natural number $n$: $f(n)=n$.",953e08f6-5c7c-54ba-bf02-bd37f0975b13,Number Theory,proof,olympiads,f(n)=n
"16. (1997 IMO Problem) Let $f(n)$ be defined on the set of positive integers and take values in the set of positive integers. Prove that if for $x \in \mathbf{N}^{*}, f(n+1)>f[f(n)]$, then $f(n)=n$.

Translate the above text into English, please retain the original text's line breaks and format, and output the translation result directly. 

(Note: The provided text is already in English, so no changes are needed.)",4f21638a-70c5-5af8-8053-de1ea38eda8b,Number Theory,proof,olympiads,f(n)=n
"99. There is a certain number of cards. Each card has a natural number written on it. For each $n \leqslant 1968$, there are exactly $n$ cards on which the numbers are divisors of $n$. Prove that the number $2^{10}=$ $=1024$ is written on at least one card.",ddd4b4cd-99a4-53cc-8631-c35ca9b35a53,Number Theory,proof,olympiads,1024
"19. Let the set $A=\left\{x \in \mathbf{N}^{*} \mid x\right.$'s decimal representation does not contain the digits $\left.2,0,1,6\right\}$. Prove: $\sum_{x \in A} \frac{1}{x}<3$.
(Note: $\sum_{x \in A} \frac{1}{x}$ represents the sum of the reciprocals of all elements in the set $A$.)",300b1fd4-4918-57ab-ab83-c106b8880abc,Number Theory,proof,olympiads,3
"86. a) Prove that the fraction $\frac{a^{3}+2 a}{a^{4}+3 a^{2}+1}$ is irreducible for any integer value of $a$.

b) Indicate all (natural) numbers by which the fraction $\frac{5 n+6}{8 n+7}$ can be reducible for integer $n$.",e5c4c055-d2b6-57b1-bbf9-6fb0cd84390f,Number Theory,proof,olympiads,13
"10.1. Find all integer solutions $(x, y)$ of the equation $x^{2}-2 y^{2}=2^{x+y}$ and prove that there are no others.",1d14634d-5f71-5704-a9cf-557ac6c073f2,Number Theory,proof,olympiads,"(2,0),(2,-1),(6,-4),(4,0),(12,-8)"
"26. The function $f$ defined on the set of integers satisfies $f(1)=1, f(2)=2, f(n+2)=f[n+2-f(n+1)]+f[n+1-f(n)](n \geqslant 1)$. Prove:
(1) $0 \leqslant f(n+1) \cdot -f(n) \leqslant 1$;
(2) If $f(n)$ is odd, then $f(n+1)=f(n)+1$;
(3) Find all values of $n$ such that $f(n)=2^{10}+1$.",d7bd9ef3-f088-5952-bb80-ead88f38d3b1,Number Theory,proof,olympiads,2^{11}
"Let $S_{1}$ and $S_{2}$ denote the sum of the number of odd and even divisors of the numbers $1,2, \ldots, n$, respectively. Prove that

$$
\left|S_{1}-S_{2}-n \cdot \ln 2\right|<\sqrt{n}+1
$$",a8d34255-67b6-54f2-8c77-3e27fc786f20,Number Theory,proof,olympiads,|S_{1}-S_{2}-n\cdot\ln2|<\sqrt{n}+1
"Example 7 Write $N$ natural numbers $(n \geqslant 3)$ on a circle, such that the ratio of the sum of the two adjacent numbers to the number itself is a natural number for each number, and let the sum of all these ratios be $S_{n}$. Prove: $2 n \leqslant S_{n}<3 n$.
(18th All-Soviet Union Olympiad)",75c60323-4bca-56dc-bfd6-e30a298f678c,Number Theory,proof,olympiads,2n\leqslantS_{n}<3n
"18.6.5 ** Let $a, b, c, d$ be odd numbers, $0<a<b<c<d$, and $ad=bc$. Prove: If for some integers $k$ and $m$ there are $a+d=2^k, b+c=2^m$, then $a=1$.

---

The translation is provided as requested, maintaining the original formatting and structure.",c651bf67-b493-5db4-8a8c-1ae547443d6c,Number Theory,proof,olympiads,1
"2. The square of a two-digit natural number $N$ is a three-digit natural number, whose tens digit is given by the sum of the units digit and the hundreds digit.

a) (3p) Show that the hundreds digit is equal to the units digit.

b) (4p) Determine all natural numbers $N$ with the property mentioned in the statement.

Prof. Liliana Timofti",c631b47f-f0e6-5079-91ef-5cd5ed8f7511,Number Theory,proof,olympiads,N=11orN=22
"Let $A_{1}, A_{2}, \cdots, A_{n}$ satisfy $A_{1} \cup A_{2} \cup \cdots \cup A_{n}=\mathbf{Z}$, and for any two numbers $b>c$ in each $A_{i}$, we have $b-c \geqslant a^{i}$.",1feb4e39-4169-5245-920d-ce1c48c5957b,Number Theory,proof,olympiads,2
"2. Let $a, b$ be positive integers, $a^{2}+a b+1$ is divisible by $b^{2}+a b+1$, prove: $a=b$.

The text has been translated while preserving the original formatting and line breaks.",795ff4fb-47f4-530b-9af7-b99903c2c898,Number Theory,proof,olympiads,b
"1. Let $a, b$ be positive integers, and $a b \mid\left(a^{2}+b^{2}\right)$. Prove: $a=b$.",99cc80b1-1478-5e0a-85e1-dd3cfe1bf774,Number Theory,proof,olympiads,b
Show that the fraction $\frac{12 n+1}{30 n+2}$ is always irreducible.,b42e3a24-e91b-55de-8f76-046a2f77ca41,Number Theory,proof,olympiads,1
"5. Let $n$ be a positive integer, $a$ be a positive integer coprime with $n$, and $b$ be any integer. Prove:
$$
\left\{\frac{b}{n}\right\}+\left\{\frac{a+b}{n}\right\}+\left\{\frac{2 a+b}{n}\right\}+\cdots+\left\{\frac{(n-1) a+b}{n}\right\}=\frac{n-1}{2}
$$",1f4973dc-08a0-5562-9b04-0e00963ffd65,Number Theory,proof,olympiads,\frac{n-1}{2}
"Given a polynomial $P(x)$ with integer coefficients, assume that for every positive integer $n$ we have $P(n)>n$. Consider the sequence

$$
x_{1}=1, x_{2}=P\left(x_{1}\right), \ldots, x_{n}=P\left(x_{n-1}\right), \ldots
$$

If for every positive integer $N$ there exists a member of the sequence divisible by $N$, prove that $P(x)=x+1$.",fcba1e31-a840-5a00-8322-1ae4e86867e8,Number Theory,proof,olympiads,P(x)=x+1
"Exercise 1. Let $a, b, c$ and $d$ be non-zero natural numbers. Suppose that $a! + b! = c! + d!$. Prove that $ab = cd$.",b070e3ce-f339-582e-82a2-2686980073e4,Number Theory,proof,olympiads,cd
"## Subject 4.

Consider the set $A=\{k \in \mathbb{N} \mid 501 \leq k \leq 1000\}$. For any element $k \in A$, we denote by $d_{k}$ the greatest odd divisor of the number $k$.

Show that the number $p=d_{501}+d_{502}+\ldots+d_{1000}$ is a perfect square.

Prof. Cristian Mangra, Bucharest

| Details of the solution | Associated grading |
| :--- | :---: |
| For any natural number $n$, there exist, and are unique, numbers $x \in \mathbb{N}$ and $y$ odd such that $n=2^{x} \cdot y$. | $\mathbf{2 p}$ |
| Consider $i, j \in\{501 ; 502 ; \ldots ; 1000\}, i$ are odd natural numbers less than 1000. If $d_{i}=d_{j}$, then $x_{i}<x_{j}$, equivalent to $2 i \leq j \leq 1000$, a contradiction. | $\mathbf{2 p}$ |
| We deduce that $d_{i} \neq d_{j}$. It follows that $\left\{d_{k} \mid k \in A\right\}=\{1 ; 3 ; 5 ; \ldots ; 999\}$. | $\mathbf{2 p}$ |
| Therefore, $p=1+3+5+\ldots+999=500^{x_{j}}$. The conclusion follows. |  |

## MATHEMATICS OLYMPIAD - SECTOR STAGE, 09.02.2013 -

## GRADE 7

## Note: All subjects are mandatory. Each subject is graded from 0 to 7 points. Complete solutions are to be written on the exam sheet. Time allowed: 3 hours.",5e6a4609-7a51-5d5b-b257-646d3e890c5f,Number Theory,proof,olympiads,500^2
"34th Putnam 1973 Problem B3 The prime p has the property that n 2 - n + p is prime for all positive integers less than p. Show that there is exactly one integer triple (a, b, c) such that b 2 - 4ac = 1 - 4p, 0 < a ≤ c, -a ≤ b < a. Solution",b71aef47-211b-536b-8c9a-ebe8dbad6a63,Number Theory,proof,olympiads,"(1,-1,p)"
"\section*{Problem 1 - 281041}

Show that there is exactly one natural number \(n\) such that \(2^{8}+2^{11}+2^{n}\) is a perfect square!",e785d2e5-b92b-510f-90c7-315e0ec3ef8e,Number Theory,proof,olympiads,12
"4-233 Let $a, b, c, d$ be odd numbers, $0<a<b<c<d$, and $a d=b c$. Prove that if $a+d=2^{k}, b+c=2^{m}$, where $k, m$ are integers, then $a=1$.

The text is translated while preserving the original line breaks and format.",2652de5a-1c88-5e28-897b-18fcd27bdcac,Number Theory,proof,olympiads,1
36th IMO 1995 shortlist Problem S5 The function f(n) is defined on the positive integers as follows. f(1) = 1. f(n+1) is the largest positive integer m such that there is a strictly increasing arithmetic progression of m positive integers ending with n such that f(k) = f(n) for each k in the arithmetic progression. Show that there are positive integers a and b such that f(an + b) = n + 2 for all positive integers n. Solution,04fdf6c1-ce4b-517f-84b8-8c3f881ae53d,Number Theory,proof,olympiads,"4,8"
"9. (2007 Bulgarian National Mathematical Olympiad) Given an integer $k(k>5)$, represent a given positive integer in base $k$, and write the product of the sum of the digits of this base $k$ number and $(k-1)^{2}$ after the given positive integer. Continue this operation on the new number to form a sequence. Prove: from a certain number onwards, all subsequent numbers are equal.",2773b9dc-1159-57df-a0b8-1ac21bef195a,Number Theory,proof,olympiads,2(k-1)^{3}
"## Task A-3.4.

If $p$ and $p^{2}+8$ are prime numbers, prove that $p^{3}+4$ is also a prime number.",0d8289d4-90b7-55c8-bf03-d393a7e77fc2,Number Theory,proof,olympiads,31
